"cd-rfile"
"Iteration" "cd"
("Iteration" "cd")
1 0.8013924879054883
2 0.797760094704669
3 0.5547349132372212
4 0.4102596434385062
5 0.3210171356633792
6 0.2664343325400945
7 0.232482114769137
8 0.2114693542701817
9 0.197888141373422
10 0.1890160676778506
11 0.1833339781554307
12 0.1794504973271849
13 0.1767742517342999
14 0.1749135699536794
15 0.1736096151301074
16 0.1726885000146723
17 0.1720320518498042
18 0.1715594628956848
19 0.1712153382776509
20 0.1709616738124426
21 0.1707723693248754
22 0.1706294458410301
23 0.1705204395414281
24 0.1704366185334267
25 0.1703717748913135
26 0.1703214151860956
27 0.1702822229652043
28 0.1702517037116414
29 0.1702279500093267
30 0.1702094846436768
31 0.1701951536300078
32 0.1701840511360835
33 0.1701754649367148
34 0.1701688354005279
35 0.1701637237448517
36 0.1701597869869493
37 0.170156757903089
38 0.1701544289565265
39 0.1701526394204053
40 0.1701512651076535
41 0.1701502102321489
42 0.1701494010025506
43 0.1701487806136158
44 0.1701483212789688
45 0.1701479516021371
46 0.1701476787306886
47 0.1701474679083588
48 0.1701473046919027
49 0.1701471785536652
50 0.1701470813886155
51 0.1701470068861626
52 0.1701469500769252
53 0.1701469070210697
54 0.1701468745894381
55 0.1701468503032764
56 0.1701468322112591
57 0.1701468187906009
